iterations,slope,intercept
300500,611.5814469150655,226291.1595318679
301000,611.5596406913933,226292.54774489818
301500,611.5381095127491,226293.91844819832
302000,611.5168499099555,226295.27186262078
302500,611.4958584575836,226296.6082062328
303000,611.4751317734101,226297.9276943513
303500,611.454666517877,226299.23053957688
304000,611.4344593935497,226300.51695182858
304500,611.4145071445847,226301.78713837778
305000,611.3948065561991,226303.04130388174
305500,611.3753544541581,226304.27965041646
306000,611.3561477042709,226305.50237750867
306500,611.3371832118836,226306.70968216812
307000,611.3184579213511,226307.90175892127
307500,611.2999688155965,226309.07879983916
308000,611.2817129155875,226310.24099457095
308500,611.2636872798664,226311.38853037372
309000,611.2458890040698,226312.5215921431
309500,611.228315220488,226313.64036244128
310000,611.2109630975611,226314.74502152906
310500,611.1938298394492,226315.8357473934
311000,611.1769126855803,226316.91271577586
311500,611.1602089102034,226317.97610020143
312000,611.1437158219367,226319.02607200702
312500,611.1274307633615,226320.06280036733
313000,611.1113511105654,226321.0864523242
313500,611.0954742727441,226322.09719281163
314000,611.0797976917552,226323.09518468432
314500,611.0643188417307,226324.08058874242
315000,611.0490352286681,226325.05356375736
315500,611.0339443900008,226326.01426649943
316000,611.0190438942515,226326.9628517597
316500,611.0043313405866,226327.8994723783
317000,610.9898043584793,226328.82427926626
317500,610.9754606072794,226329.73742143236
318000,610.9612977758721,226330.6390460053
318500,610.9473135822916,226331.52929825798
319000,610.9335057733502,226332.40832163132
319500,610.9198721242803,226333.27625775698
320000,610.9064104383834,226334.13324647967
320500,610.8931185466691,226334.9794258802
321000,610.8799943074883,226335.81493229882
321500,610.8670356062179,226336.63990035516
322000,610.8542403549117,226337.4544629707
322500,610.8416064919436,226338.25875139123
323000,610.829131981706,226339.05289520626
323500,610.8168148142523,226339.83702237162
324000,610.804653004997,226340.61125922867
324500,610.7926445943896,226341.37573052497
325000,610.7807876475849,226342.13055943535
325500,610.7690802541528,226342.87586758027
326000,610.7575205277584,226343.61177504636
326500,610.7461066058476,226344.33840040624
327000,610.734836649373,226345.0558607361
327500,610.7237088424786,226345.7642716357
328000,610.7127213922114,226346.4637472469
328500,610.7018725282308,226347.15440027183
329000,610.6911605025258,226347.83634199123
329500,610.6805835891404,226348.50968228173
330000,610.670140083881,226349.1745296345
330500,610.6598283040539,226349.83099117214
331000,610.64964658818,226350.47917266653
331500,610.639593295755,226351.11917855433
332000,610.6296668069466,226351.7511119563
332500,610.6198655223652,226352.37507469163
333000,610.6101878627965,226352.9911672952
333500,610.6006322689295,226353.59948903476
334000,610.5911972011401,226354.20013792493
334500,610.5818811392188,226354.79321074416
335000,610.5726825821264,226355.3788030506
335500,610.5636000477508,226355.95700919753
336000,610.5546320726813,226356.52792234757
336500,610.545777211971,226357.0916344879
337000,610.5370340388943,226357.64823644585
337500,610.5284011447113,226358.19781790362
338000,610.5198771384595,226358.7404674117
338500,610.5114606467226,226359.27627240363
339000,610.5031503134105,226359.80531920987
339500,610.4949447995182,226360.32769307325
340000,610.486842782953,226360.84347815995
340500,610.4788429582915,226361.35275757496
341000,610.4709440365571,226361.8556133762
341500,610.4631447450582,226362.35212658494
342000,610.4554438271376,226362.84237720162
342500,610.4478400420086,226363.32644421633
343000,610.4403321645074,226363.8044056247
343500,610.4329189849436,226364.2763384371
344000,610.4255993088775,226364.74231869326
344500,610.4183719569352,226365.20242147363
345000,610.4112357646193,226365.65672091165
345500,610.4041895821197,226366.10529020577
346000,610.397232274134,226366.5482016308
346500,610.3903627196722,226366.98552655047
347000,610.383579811885,226367.4173354283
347500,610.3768824578957,226367.84369783825
348000,610.3702695785828,226368.2646824786
348500,610.3637401084738,226368.68035717873
349000,610.3572929955034,226369.09078891456
349500,610.3509272008944,226369.49604381595
350000,610.3446416989675,226369.89618717905
350500,610.3384354769825,226370.29128347622
351000,610.3323075349648,226370.6813963672
351500,610.3262568855549,226371.06658870855
352000,610.3202825538573,226371.44692256345
352500,610.3143835772587,226371.8224592131
353000,610.3085590053014,226372.19325916492
353500,610.3028078995052,226372.5593821638
354000,610.2971293332323,226372.92088720071
354500,610.2915223915286,226373.27783252284
355000,610.2859861709868,226373.63027564232
355500,610.280519779594,226373.9782733458
356000,610.2751223365767,226374.32188170459
356500,610.2697929722813,226374.6611560819
357000,610.2645308280198,226374.996151143
357500,610.2593350559433,226375.326920863
358000,610.2542048188828,226375.65351853726
358500,610.2491392902399,226375.97599678813
359000,610.2441376538328,226376.29440757475
359500,610.2391991037889,226376.6088022001
360000,610.2343228443851,226376.91923132094
360500,610.2295080899389,226377.22574495486
361000,610.2247540646786,226377.52839248852
361500,610.2200600026218,226377.82722268536
362000,610.2154251474477,226378.12228369375
362500,610.2108487523657,226378.4136230554
363000,610.2063300800152,226378.70128771165
363500,610.2018684023242,226378.9853240125
364000,610.1974630004189,226379.26577772244
364500,610.1931131644743,226379.54269402986
365000,610.1888181936354,226379.81611755214
365500,610.1845773958828,226380.08609234408
